2021-08-30 22:42:35,699: 'h'
2021-08-30 22:42:35,902: 'e'
2021-08-30 22:42:36,034: 'y'
2021-08-30 22:42:36,264: Key.space
2021-08-30 22:42:37,734: 'h'
2021-08-30 22:42:37,981: 'o'
2021-08-30 22:42:38,123: 'w'
2021-08-30 22:42:38,289: Key.space
2021-08-30 22:42:38,770: 'a'
2021-08-30 22:42:38,981: 'r'
2021-08-30 22:42:39,138: 'e'
2021-08-30 22:42:39,329: Key.space
2021-08-30 22:42:40,070: 'w'
2021-08-30 22:42:40,262: 'e'
2021-08-30 22:42:40,477: Key.space
2021-08-30 22:42:41,389: 'd'
2021-08-30 22:42:41,566: 'o'
2021-08-30 22:42:41,749: 'i'
2021-08-30 22:42:41,915: 'n'
2021-08-30 22:42:42,079: 'g'
